"headID","year","startDtEarly","startDtLate","endDtEarly","endDtLate","phenNote","prematureEnd","prematureEndCause"
"17215-bac-2013",2013,"2013-07-23","2013-07-23","2013-08-08","2013-08-08","N edge",NA,""
"12011-clr-2013",2013,"2013-07-08","2013-07-08","2013-07-21","2013-07-21","S of 17215",NA,""
"10236-blu-2013",2013,"2013-07-13","2013-07-13","2013-07-21","2013-07-21","",NA,""
"10915-clr-2013",2013,"2013-07-16","2013-07-16","2013-07-29","2013-07-29","ant",NA,""
"10915-yel-2013",2013,"2013-07-14","2013-07-14","2013-07-28","2013-07-28","ant",NA,""
"17667-blu-2013",2013,"2013-07-08","2013-07-08","2013-07-19","2013-07-19","",NA,""
"17667-red-2013",2013,"2013-07-09","2013-07-09","2013-07-19","2013-07-19","",NA,""
"6419-grn-2013",2013,"2013-07-08","2013-07-08","2013-07-19","2013-07-19","dead head",NA,""
"6419-blu-2013",2013,"2013-07-08","2013-07-08","2013-07-19","2013-07-19","dead head",NA,""
"18119-wht-2013",2013,"2013-07-11","2013-07-11","2013-07-19","2013-07-19","",NA,""
"18119-bac-2013",2013,"2013-07-20","2013-07-20","2013-08-01","2013-08-01","",NA,""
"6439-clr-2013",2013,"2013-07-13","2013-07-13","2013-07-26","2013-07-26","ant",NA,""
"6439-grn-2013",2013,"2013-07-18","2013-07-18","2013-07-25","2013-07-25","",NA,""
"1161-red-2013",2013,"2013-07-18","2013-07-18","2013-07-27","2013-07-27","",NA,""
"1161-yel-2013",2013,"2013-07-21","2013-07-21","2013-08-01","2013-08-01","",NA,""
"12677-clr-2013",2013,"2013-07-27","2013-07-27","2013-08-02","2013-08-02","dead head",NA,""
"14073-blu-2013",2013,"2013-07-08","2013-07-08","2013-07-19","2013-07-19","",NA,""
"10018-wht-2013",2013,"2013-07-11","2013-07-11","2013-07-28","2013-07-28","",NA,""
"11786-bac-2013",2013,"2013-07-17","2013-07-17","2013-07-27","2013-07-27","",NA,""
